"item_name","datetime","ducats_per_platinum","ducats","wa_price","ducats_per_platinum_wa","position_change_month","position_change_week","position_change_day","volume"
"Boltor Prime Stock","2021-08-29 00:00:00","1.67","15","9.87","1.52","58","5","4","280"
"Braton Prime Barrel","2021-08-29 00:00:00","3.0","15","4.45","3.37","-29","-24","-11","98"
"Braton Prime Blueprint","2021-08-29 00:00:00","8.33","25","3.19","7.82","-2","2","-7","133"
"Braton Prime Receiver","2021-08-29 00:00:00","11.25","45","4.35","10.35","-2","1","-6","144"
"Braton Prime Set","2021-08-29 00:00:00","10.0","100","9.9","10.1","36","40","-4","284"
"Braton Prime Stock","2021-08-29 00:00:00","5.0","15","2.96","5.07","-22","-43","1","211"
"Bronco Prime Barrel","2021-08-29 00:00:00","9.0","45","5.33","8.44","-24","-5","0","153"
"Bronco Prime Blueprint","2021-08-29 00:00:00","3.75","15","3.9","3.85","-16","-22","-7","99"
"Bronco Prime Receiver","2021-08-29 00:00:00","3.33","15","4.31","3.48","-10","-5","4","107"
"Bronco Prime Set","2021-08-29 00:00:00","5.0","75","16.12","4.65","18","7","0","285"
"Burston Prime Barrel","2021-08-29 00:00:00","9.0","45","4.62","9.74","-13","-24","-9","147"
"Burston Prime Blueprint","2021-08-29 00:00:00","5.0","15","2.8","5.35","18","-42","8","127"
"Burston Prime Receiver","2021-08-29 00:00:00","5.0","15","2.99","5.02","-25","-44","-58","182"
"Burston Prime Set","2021-08-29 00:00:00","9.0","90","9.79","9.2","1","10","1","328"
"Burston Prime Stock","2021-08-29 00:00:00","5.0","15","3.4","4.41","-7","-26","-4","144"
"Carrier Prime Blueprint","2021-08-29 00:00:00","1.2","15","13.31","1.13","0","2","1","181"
"Carrier Prime Carapace","2021-08-29 00:00:00","1.0","15","14.25","1.05","-4","-15","3","117"
"Carrier Prime Cerebrum","2021-08-29 00:00:00","1.44","65","45.61","1.43","2","5","3","184"
"Carrier Prime Set","2021-08-29 00:00:00","1.1","110","97.69","1.13","0","5","5","581"
"Carrier Prime Systems","2021-08-29 00:00:00","1.5","15","9.84","1.52","-22","-8","-6","306"
"Cernos Prime Blueprint","2021-08-29 00:00:00","9.0","45","4.95","9.09","35","8","-1","96"
"Cernos Prime Grip","2021-08-29 00:00:00","1.67","15","9.07","1.65","-1","0","5","124"
"Cernos Prime Lower Limb","2021-08-29 00:00:00","4.0","100","26.21","3.8200000000000003","12","21","-1","107"
"Cernos Prime Set","2021-08-29 00:00:00","2.9","200","70.33","2.84","3","3","1","385"
"Cernos Prime String","2021-08-29 00:00:00","3.5700000000000003","25","7.4","3.38","44","10","6","175"
